"图解4"
"平动位移 - Z (mm)","线性位移6 (mm)"
-285.116377060127,2.55100417723596
-285.268215714064,2.46536330856127
-285.34466679049,2.41828092564594
-285.414713654249,2.37413141459139
-285.414947347862,2.37400357876782
-285.54762799187,2.30052899866907
-285.556207378702,2.296614170398
-285.654496909188,2.24099572701
-285.690201470021,2.22341335558267
-285.728040920727,2.19639653462604
-285.818157416675,2.14997223087469
-285.907856441999,2.09636183141354
-285.939036619053,2.08063087790335
-285.957919716364,2.06488186850011
-286.027446411221,2.02558134413246
-286.053685736745,2.0135025643256
-286.145734372852,1.95432895573738
-286.162513739171,1.94938109279628
-286.263162930954,1.89331243853684
-286.356258066938,1.84008984636931
-286.400456977052,1.80724494311175
-286.444353259686,1.7818373558372
-286.444453964153,1.78171591817351
-286.49621846008,1.75682268005593
-286.525052653208,1.74279178409296
-286.565456309707,1.71492696331887
-286.59633067596,1.7013007545376
-286.659452565208,1.66501030257678
-286.665081930121,1.65700704243128
-286.715178938366,1.63272651150509
-286.762395158156,1.60546432768514
-286.79674246171,1.57388309770697
-286.807888567379,1.57813340282877
-286.838477360929,1.55941677076002
-286.860856144794,1.54839049599176
-286.874378222812,1.54025022821944
-286.879379140603,1.5369904106875
