"图解2"
"平动位移 - Z (mm)","角位移1 (deg)"
-273.874756242267,-63.5305542918787
-274.163968173045,-63.0133287846836
-274.456003443156,-62.5030071435996
-274.744416808769,-62.0004204452327
-275.033749045881,-61.5042273209993
-275.058211507832,-61.4635314697614
-275.296365939934,-61.0623231455767
-275.324999130942,-61.0149372606552
-275.382292188854,-60.9193863397626
-275.460960951941,-60.7905131652582
-275.569479474416,-60.6168734508334
-275.620628287439,-60.5330074485518
-275.658086878552,-60.472800074298
-275.761887696584,-60.3045993833057
-275.90441620563,-60.073510350093
-275.914296860258,-60.0573022194879
-276.198411833469,-59.5870884250532
-276.370936084144,-59.3058933254143
-276.4828330299,-59.1231631853961
-276.764705121917,-58.6654590662367
-277.047329434913,-58.2136469049387
-277.055999722828,-58.2005366515369
-277.151913416744,-58.0502446628116
-277.329335700699,-57.7684754660719
-277.605988194758,-57.3291724284141
-277.698768314388,-57.1845290951899
-277.882549878093,-56.8950373208367
-278.07738469743,-56.5940448288023
-278.159245971178,-56.4666741340081
-278.256610285807,-56.3170542243705
-278.432444410529,-56.0439154484358
-278.496481692533,-55.9489427701635
-278.606846612673,-55.7859466881699
-278.709453990042,-55.6274048348033
-278.778716443984,-55.5246441666651
-278.979682381339,-55.2154904398203
-279.026444943159,-55.1495095892696
-279.230511011106,-54.8379227259586
-279.249284251323,-54.8088202491452
-279.34533392964,-54.6651879100179
-279.514792799157,-54.4072550408747
-279.774144818203,-54.0111327027353
-279.858977727816,-53.8874678845493
-279.961589767395,-53.7433152789649
-280.043277897095,-53.6214258901684
-280.299659573262,-53.2338741279958
-280.306037238318,-53.2262708179772
-280.401655531854,-53.083618754755
-280.552018853543,-52.854397840244
-280.631476083931,-52.7382423025692
-280.806486178996,-52.4782964690359
-281.050326931128,-52.1075328031461
-281.29151062178,-51.7411988526633
-281.529459846001,-51.3797050499262
-281.763930312262,-51.023227696596
-281.994748181062,-50.6718957051523
-282.221790077498,-50.325824741389
-282.444962297736,-49.9850988975128
-282.664243332987,-49.6497796570935
-282.810526667392,-49.4272906019254
-282.880156176564,-49.3203817350486
-282.977805724087,-49.1721556190261
-283.092199319189,-48.996085696485
-283.120110445537,-48.9539292009655
-283.262589316391,-48.736237276954
-283.300072610118,-48.6783149713851
-283.412995652472,-48.5050959516446
-283.503407790649,-48.3653651599785
