"图解3"
"平动位移 - Z (mm)","角位移2 (deg)"
14.2465815990515,-94.6193464955926
14.2072558979925,-94.6050876899932
14.1891544505758,-94.5940390399303
14.1825918611976,-94.5887613574945
14.1776882839078,-94.5241417936186
14.1663584275381,-94.4170557331698
14.1605797170849,-94.3537895663288
14.1496770364848,-94.2686644873297
14.1378970372282,-94.1620284394804
14.1364502172324,-94.1127936697301
14.1304218806154,-94.0804798111448
14.126295893622,-94.0191716491548
14.1055834334804,-93.853301418448
14.0771933583311,-93.5887325671906
14.0442136173268,-93.2880323798695
14.0092428345208,-92.9530352503041
13.969172342964,-92.584859809365
13.952379387894,-92.4218131489681
13.9281173299166,-92.1856584135665
13.8825131711266,-91.7565964563577
13.8807228704444,-91.7481876195348
13.8404831936936,-91.4438793749604
13.8324937499578,-91.2993785309639
13.7911379112985,-90.9891316212444
13.7702118527631,-90.8147285140225
13.7659392993284,-90.7603032182796
13.7116932292132,-90.3064210673337
13.6500967874273,-89.7753084888732
13.5845856878024,-89.2230219728246
13.5164766957133,-88.6514405267506
13.5099752667794,-88.5882762766621
13.4574986805422,-88.1763111568483
13.4425941216311,-88.061906253249
13.3731987044144,-87.4572328657503
13.3664933502019,-87.4390960629162
13.2879430542855,-86.8368528104669
13.2059132853348,-86.2044341181084
13.1297656785199,-85.5617150447172
13.1214529641093,-85.5452199900559
13.0334994346386,-84.9076870656084
12.9734021845783,-84.4660623441105
12.9405856649575,-84.2460810959653
12.8498883171061,-83.5879056869421
12.8474556791674,-83.5779031190365
12.7489589832895,-82.9040340527754
12.6445188050402,-82.2257239999682
12.5470400156339,-81.545087504269
12.4424685815255,-80.8622062518171
12.3346515706283,-80.1784164949204
12.3243977932595,-80.1141617858982
12.2216662778707,-79.4946039682527
12.1086371524539,-78.8119541876955
11.9994238251498,-78.1314160882964
11.9937831672347,-78.1146888988412
11.8763035433413,-77.4530382461419
11.7571310414873,-76.7782340309384
11.6336851213636,-76.1073457139715
11.559854312883,-75.7067416794369
11.5092920105616,-75.4410400582799
11.3828122800605,-74.7798003298192
11.2546169757828,-74.1240882385843
11.1236888172547,-73.4743082628718
10.9911501991183,-72.8308215626639
10.8570367943731,-72.193931791802
10.7204536977656,-71.5639197450424
10.6431611060431,-71.2131096113
10.5812527844932,-70.9410280446193
10.4429730008023,-70.3253342951559
10.3047161783899,-69.7260291405683
10.3017181404377,-69.7171042439771
10.1584223358962,-69.1164386164399
10.103337965387,-68.8930344991307
10.013676339966,-68.5234042188004
9.86843298225076,-67.9380038184296
9.79267263141467,-67.6294284744753
9.72139643420973,-67.3603471958508
9.67854774516688,-67.1886023555257
9.57299345251142,-66.7904274007204
9.53060821820591,-66.6276810075677
9.42381758968607,-66.2281939264506
9.27472000137748,-65.6735412107971
9.12343520302544,-65.1266258825576
8.97328614312333,-64.5870794222971
8.8216343114378,-64.0550858117053
8.66874289946536,-63.5305542918787
8.51529322569974,-63.0133287846836
8.36368928597162,-62.5030071435996
8.20675079729596,-62.0004204452327
8.05387341960084,-61.5042273209993
8.0434315829893,-61.4635314697614
7.91309481134982,-61.0623231455767
7.90034856764596,-61.0149372606552
7.86942345570507,-60.9193863397626
7.82808408870095,-60.7905131652582
7.76820165264637,-60.6168734508334
7.74259490287825,-60.5330074485518
7.72182466263965,-60.472800074298
7.67077369206659,-60.3045993833057
7.59190008040325,-60.073510350093
7.58745174460632,-60.0573022194879
7.43832131938267,-59.5870884250532
7.34820774398841,-59.3058933254143
7.28936385760888,-59.1231631853961
7.1403618960388,-58.6654590662367
6.99254670792558,-58.2136469049387
6.98566426177834,-58.2005366515369
6.93429321975481,-58.0502446628116
6.84144810685415,-57.7684754660719
6.69079464740412,-57.3291724284141
6.64366421698738,-57.1845290951899
6.54354220250201,-56.8950373208367
6.43930225619292,-56.5940448288023
6.39619227872157,-56.4666741340081
6.34505867203741,-56.3170542243705
6.24920905272461,-56.0439154484358
6.21655696041166,-55.9489427701635
6.15496524862386,-55.7859466881699
6.09943219215973,-55.6274048348033
6.0625473182379,-55.5246441666651
5.95402187407219,-55.2154904398203
5.93295933712887,-55.1495095892696
5.82100948032618,-54.8379227259586
5.80973027440557,-54.8088202491452
5.75600883475694,-54.6651879100179
5.66691840033443,-54.4072550408747
5.52403699976681,-54.0111327027353
5.48098033644016,-53.8874678845493
5.42301493398696,-53.7433152789649
5.37723146797363,-53.6214258901684
5.24313119618612,-53.2338741279958
5.2347555564457,-53.2262708179772
5.1840348162118,-53.083618754755
5.0987150240637,-52.854397840244
5.05574307961795,-52.7382423025692
4.96201997400891,-52.4782964690359
4.82563929462756,-52.1075328031461
4.69294545818617,-51.7411988526633
4.56253398554944,-51.3797050499262
4.43395310729633,-51.023227696596
4.30699290835608,-50.6718957051523
4.18155250671172,-50.325824741389
4.05769057797616,-49.9850988975128
3.93558460648614,-49.6497796570935
3.85089448022118,-49.4272906019254
3.81403767873277,-49.3203817350486
3.75625675469544,-49.1721556190261
3.69607677600993,-48.996085696485
3.67874378490045,-48.9539292009655
3.5970352896509,-48.736237276954
3.57780991324771,-48.6783149713851
3.51356782437587,-48.5050959516446
3.46495227726651,-48.3653651599785
3.42413858155366,-48.2622707985751
3.35752510985848,-48.0756684084105
3.35212241039999,-48.0592126564041
3.24408790002922,-47.758454773122
3.13653859692825,-47.4647885688063
3.07201273781378,-47.302689823097
3.03148255944564,-47.1777717608641
3.01301972960621,-47.1337690538229
2.98318526919981,-47.0487023856574
2.92932764508515,-46.8975160166566
2.89913036735368,-46.8202049612834
2.83092554909208,-46.6239821248856
